股票代码,策略总收益率,策略年化收益率,策略最大回撤,策略夏普比率,策略胜率,策略盈亏比,策略交易次数,买入持有收益率,买入持有最大回撤,买入持有夏普比率,超额收益,回撤改善
600019,2.176082386861001,0.12903177367229035,-0.468663007,0.4444680670396274,0.6785714285714286,0.022561487259222406,28,2.796791443850267,-0.693528694,0.45538478454763426,-0.620709057,0.22486568666159074
600021,-0.166611633,-0.018837604,-0.528836743,-0.076432974,0.6086956521739131,0.007934805137932701,24,1.4193548387096775,-0.585899514,0.3444922642541875,-1.585966471,0.05706277079699326
600023,1.2311596021709992,0.08445709319926141,-0.257607142,0.38644819160116145,0.6470588235294117,0.020661577683485196,35,0.579250720461095,-0.495670996,0.19636199037620555,0.651908881709904,0.23806385409911038
600028,2.4408652968599993,0.13297423261460395,-0.350537346,0.6182699841929439,0.71875,0.027070369850205875,32,4.292307692307692,-0.553014553,0.5772701905317228,-1.851442395,0.20247720707364755
600029,0.9768509731780008,0.07137019286645097,-0.34169894,0.286026874258587,0.6764705882352942,0.01662708793860982,34,0.17345132743362826,-0.606803797,0.11794884844066172,0.8033996457443726,0.2651048576491335
600030,1.9853790766280008,0.1177081969724818,-0.267072816,0.4831948526997276,0.6764705882352942,0.03051182535547218,35,1.347246891651865,-0.446991404,0.3340660545353498,0.6381321849761358,0.17991858779079678
600031,0.45334209352099974,0.03849443776179995,-0.538817397,0.15858827065606612,0.6551724137931035,0.012285258322198395,29,8.578260869565218,-0.742308532,0.6796417393579389,-8.124918776,0.20349113418824402
600036,2.9545093775789955,0.1490126772701017,-0.408126014,0.5405396566288458,0.6666666666666665,0.03291826221896044,28,20.18918918918919,-0.589795918,0.8453262433647868,-17.23467981,0.18166990426756605
600037,-0.049705645,-0.005150377,-0.591755184,-0.027702596,0.5925925925925926,0.00960305387832019,27,-0.379757085,-0.670602125,-0.048597136,0.3300514399432432,0.07884694083252854
600038,-0.051448624,-0.005344151,-0.527986003,-0.023249287,0.5862068965517241,0.00963521314739841,29,0.044186688760011084,-0.610112777,0.10619755914989965,-0.095635313,0.0821267746372488
600048,1.6988751329170038,0.10583138039965911,-0.610021364,0.3793512808712753,0.8,0.01379772075382627,30,0.4073275862068968,-0.65844083,0.2285982761129247,1.291547546710107,0.04841946560268227
