股票代码,策略总收益率(%),策略年化收益率(%),策略最大回撤(%),策略夏普比率,策略胜率(%),策略盈亏比,策略交易次数,买入持有收益率(%),买入持有最大回撤(%),买入持有夏普比率,超额收益(%),回撤改善(%)
001979,-0.11481025724216642,-0.012311049107770144,-0.4858664376249078,-0.07048421034206703,0.5862068965517241,0.009238087563252345,29,-0.07442682294654879,-0.6527232355028519,0.062053979051694186,-0.040383434295617644,0.16685679787794414
002007,0.37600858667875126,0.03277335015113558,-0.5531824848950818,0.11295483005939065,0.7407407407407408,0.012483634163737661,28,0.32021615636467343,-0.7964759632166495,0.1678643562740888,0.055792430314077775,0.2432934783215677
002008,2.4588765923238114,0.1335719997109195,-0.5239775879892125,0.48299745777497166,0.696969696969697,0.020553963810138565,33,2.920229629620944,-0.7435092569604538,0.46721551685274737,-0.4613530372971323,0.21953166897124135
002024,-0.7488085493900772,-0.13108094132253723,-0.8577259159834489,-0.6684396949591801,0.4666666666666666,0.004359168551637745,31,-0.8499574994746044,-0.9295112951569515,-0.5579716519141202,0.1011489500845272,0.0717853791735027
002027,-0.0481644924097373,-0.004974778858464535,-0.5102675055200558,0.005277567869027528,0.6956521739130435,0.010400448747294793,24,0.13210800846253945,-0.6827042190265871,0.1503480828325645,-0.18027250087227678,0.1724367135065313
002049,0.0332586202860341,0.003486651218992165,-0.465326257219482,0.07093733057072134,0.64,0.011007044105017067,26,0.9900810484178233,-0.7360085301751842,0.31671400751028717,-0.9568224281317892,0.2706822729557022
002065,-0.037663048672373356,-0.004011464100408313,-0.7584984462451,0.03555923235073145,0.5,0.010142613527572517,27,-0.22846519056615378,-0.7415651370431676,0.051253484789549206,0.19080214189378045,-0.016933309201932333
002074,0.35977926840855545,0.031802497013364794,-0.6401963993081482,0.16497508460693808,0.4642857142857143,0.012327919320733596,29,0.38761786150885685,-0.7479365234249038,0.23423554432256483,-0.02783859310030138,0.10774012411675557
002081,0.18483914597409412,0.01728321076379613,-0.5334550560941048,0.05915144374660871,0.5161290322580645,0.011380867335862369,32,-0.5131539292382765,-0.8034083204402248,-0.16225394795598114,0.6979930752123706,0.26995326434612
002085,-0.024670185877813555,-0.002571362580762737,-0.5535436236492501,0.015279106257092518,0.5625,0.009818675305124125,32,0.41768322481627007,-0.8208440334309485,0.2129893469954225,-0.4423534106940836,0.26730040978169833
002129,-0.8192578363016985,-0.18737369373319857,-0.8597402067740121,-0.5981022783231709,0.3125,0.003051567851180545,16,0.636520545789778,-0.8475343660531878,0.2664921542659073,-1.4557783820914765,-0.012205840720824312
002131,-0.3493527099396785,-0.042734002161119895,-0.7615352247965386,-0.0883311279684555,0.5185185185185185,0.006970119685426792,27,1.1840155254030984,-0.7823706740504693,0.3330852656281177,-1.5333682353427769,0.020835449253930705
002142,1.3382550333798071,0.08979921758723484,-0.36051700052965296,0.37138769872567795,0.6333333333333333,0.025374527696970146,30,3.109574201805441,-0.5274634968915239,0.5194826985957908,-1.7713191684256337,0.166946496361871
002146,-0.5300384199672774,-0.07371478115319252,-0.7575250972094486,-0.1398195571395038,0.6521739130434783,0.007757736283434625,24,-0.7041231037249718,-0.8965387307675217,-0.13812181757246242,0.17408468375769431,0.13901363355807306
002152,1.0498144572947967,0.0754345398502334,-0.43644076083354916,0.29445430324052685,0.7352941176470589,0.018797116065805072,34,0.7567702468052349,-0.5539780353002662,0.2570582793600853,0.29304421048956186,0.11753727446671704
